about-the-hash	cold-okroshka,the-secrets-that-it-is-desirable-to-know-when-cooking-soup,soup-with-meatballs,mushroom-soup
lightning	vortex,at-the-source-tikhon-of-zadonsk,the-power-of-the-will-to-live,source-tikhon-of-zadonsk
vortex	lightning,at-the-source-tikhon-of-zadonsk,the-power-of-the-will-to-live,source-tikhon-of-zadonsk
oats	gorox-vkusno-i-polezno,yagody-zhimolosti-vkusnye-i-poleznye,shhavel-vkusno-i-polezno,kukuruza-vkusnoe-i-lyubimoe-lakomstvo-dlya-mnogix
cherry-jelly	klubnichnoe-zhele-so-smetanoj-nezhnoe-i-vkusnoe,klubnichnyj-muss-iz-zhele-iz-paketika-i-zhelatina-poristyj-i-vozdushnyj,vkusnyj-desert-iz-yablochnogo-zhele-i-limona,zhele-iz-yagod-klubniki-i-zhimolosti-nezhnoe-i-vkusnoe
about-cheese	cheese-homemade,fermented-baked-milk-homemade,homemade-sour-cream,domashnij-syr-k-chayu-prosto-i-bystro
chesnok-sushim-v-duhovke-v-domashnih-usloviyah	chesnok-obladaet-otlichnyimi-vkusovyimi-kachestvami-i-poleznyimi-svojstvami,chesnochnye-strelki-tushenye-s-ovoshami-prosto-i-vkusno,chesnochnye-strelki-s-yajcami-i-ostrym-percem,ostrye-chesnochnye-strelki-s-zelenym-goroshkom-i-ovoshami-na-skovorode
